n,time-seconds
487,0.0050303330
488,0.0049441670
489,0.0053865000
490,0.0049407080
491,0.0050312500
492,0.0049792500
493,0.0052649170
494,0.0048790830
495,0.0050367090
496,0.0055007920
497,0.0049865830
498,0.0047694170
499,0.0050622920
500,0.0051480840
501,0.0050619170
502,0.0053506660
503,0.0052054580
504,0.0053048330
505,0.0054949590
506,0.0051750000
507,0.0050970830
508,0.0051280410
509,0.0054949590
510,0.0052388330
511,0.0053806670
512,0.0054110000
513,0.0052095830
514,0.0054390420
515,0.0054832080
516,0.0052925830
517,0.0056528340
518,0.0057382080
519,0.0055068750
520,0.0057071660
521,0.0058603340
522,0.0056046670
523,0.0059745830
524,0.0058835410
525,0.0060758330
526,0.0060302920
527,0.0058994170
528,0.0061622910
529,0.0061165830
530,0.0059770840
531,0.0057537920
532,0.0061880410
533,0.0056335410
534,0.0058734170
535,0.0061330420
536,0.0059214170
537,0.0061203750
538,0.0055989170
539,0.0061237080
540,0.0060680830
541,0.0061284580
542,0.0059095410
543,0.0062729580
544,0.0060778330
545,0.0061585000
546,0.0065257500
547,0.0064402080
548,0.0066379580
549,0.0059518750
550,0.0061331670
551,0.0062036250
552,0.0062957920
553,0.0061590840
554,0.0062779170
555,0.0061962500
556,0.0062977920
557,0.0063527080
558,0.0062640840
559,0.0066627500
560,0.0061110830
561,0.0065273330
562,0.0064155830
563,0.0064395420
564,0.0068258330
565,0.0064204170
566,0.0067449580
567,0.0066097500
568,0.0064563750
569,0.0070290840
570,0.0063297080
571,0.0069831660
572,0.0066749580
573,0.0062596250
574,0.0070477500
575,0.0064742500
576,0.0069080840
577,0.0067027080
578,0.0065060840
579,0.0070577500
580,0.0067056250
581,0.0073138750
582,0.0067409170
583,0.0071235420
584,0.0069216250
585,0.0071175000
586,0.0075326250
587,0.0070627080
588,0.0077608750
589,0.0195305410
590,0.0088865840
591,0.0076916250
592,0.0074648750
593,0.0077445000
594,0.0070910000
595,0.0075364160
596,0.0074093750
597,0.0073981250
598,0.0075085420
599,0.0071967910
600,0.0077700830
601,0.0075745420
602,0.0076826660
603,0.0069922920
604,0.0076167920
605,0.0073852080
606,0.0077330420
607,0.0072672090
608,0.0075742080
609,0.0078181670
610,0.0074451250
611,0.0077917090
612,0.0077507500
613,0.0079538340
614,0.0076945420
615,0.0080444580
616,0.0075001250
617,0.0079995420
618,0.0076616250
619,0.0078091250
620,0.0078981250
621,0.0080324170
622,0.0078251670
623,0.0079382090
624,0.0080460830
625,0.0082095830
626,0.0080022500
627,0.0082077500
628,0.0080422080
629,0.0081844160
630,0.0080130000
631,0.0079588330
632,0.0083541670
633,0.0084575000
634,0.0083470000
635,0.0082771660
636,0.0083553750
637,0.0079983750
638,0.0085485000
639,0.0084903340
640,0.0084110000
641,0.0080125000
642,0.0085158750
643,0.0084252500
644,0.0086770840
645,0.0086143750
646,0.0083242080
647,0.0084717080
648,0.0083020830
649,0.0081951670
650,0.0086271250
651,0.0086536250
652,0.0087021250
653,0.0088617080
654,0.0088554170
655,0.0087922910
656,0.0087165830
657,0.0087841250
658,0.0087341250
659,0.0088815000
660,0.0089437910
661,0.0089665410
662,0.0090751250
663,0.0092085000
664,0.0090852080
665,0.0087416660
666,0.0093282500
667,0.0089522080
668,0.0090097920
669,0.0088969170
670,0.0091148330
671,0.0087912080
672,0.0090294590
673,0.0089182920
674,0.0089517090
675,0.0093297090
676,0.0091989590
677,0.0096297920
678,0.0093724170
679,0.0100041250
680,0.0097989580
681,0.0093768330
682,0.0092609170
683,0.0098806670
684,0.0092996250
685,0.0096923330
686,0.0096791250
687,0.0094059580
688,0.0092822500
689,0.0099266660
690,0.0094820420
691,0.0095769590
692,0.0097633340
693,0.0097327920
694,0.0099004590
695,0.0094539170
696,0.0096019170
697,0.0092977500
698,0.0097909170
699,0.0098029160
700,0.0101292500
701,0.0102416670
702,0.0099183750
703,0.0101384160
704,0.0101509170
705,0.0101501250
706,0.0099996250
707,0.0101452500
708,0.0101105830
709,0.0097099590
710,0.0103205410
711,0.0101032500
712,0.0102196250
713,0.0104057500
714,0.0107409590
715,0.0105084580
716,0.0107391670
717,0.0103621250
718,0.0108860420
719,0.0108086670
720,0.0106010420
721,0.0108126250
722,0.0108772920
723,0.0106252910
724,0.0114108340
725,0.0111913750
726,0.0113605000
727,0.0112398330
728,0.0105260420
729,0.0102846250
730,0.0107372910
731,0.0104945420
732,0.0107326670
733,0.0105594590
734,0.0109194590
735,0.0108380830
736,0.0108240420
737,0.0106467500
738,0.0107424160
739,0.0109279590
740,0.0114342080
741,0.0249100830
742,0.0116776250
743,0.0107059170
744,0.0107076660
745,0.0112187500
746,0.0112788750
747,0.0114447910
748,0.0114742500
749,0.0113252500
750,0.0112878750
751,0.0112554580
752,0.0109800420
753,0.0117705830
754,0.0118901250
755,0.0113530840
756,0.0114777500
757,0.0114042080
758,0.0118250830
759,0.0116282910
760,0.0118752910
761,0.0119592920
762,0.0120303330
763,0.0119226250
764,0.0116086250
765,0.0116287080
766,0.0116484160
767,0.0118261660
768,0.0120472910
769,0.0118145410
770,0.0124167080
771,0.0120278340
772,0.0123465830
773,0.0117155000
774,0.0121272920
775,0.0122817090
776,0.0125839160
777,0.0126844160
778,0.0127558750
779,0.0129200420
780,0.0129570000
781,0.0125806250
782,0.0124355830
783,0.0120732080
784,0.0119827920
785,0.0125320000
786,0.0127163750
787,0.0126911250
788,0.0129295410
789,0.0122699580
790,0.0123965420
791,0.0124822920
792,0.0125445000
793,0.0121198750
794,0.0128383750
795,0.0126279170
796,0.0125557500
797,0.0129050410
798,0.0125789590
799,0.0126461250
800,0.0128418750
801,0.0127253340
802,0.0129575420
803,0.0128023330
804,0.0127801250
805,0.0130792910
806,0.0133825830
807,0.0135420410
808,0.0136806250
809,0.0138889590
810,0.0135761670
811,0.0131613750
812,0.0130560420
813,0.0133218750
814,0.0134787090
815,0.0135558330
816,0.0131890410
817,0.0135096250
818,0.0135428750
819,0.0131415420
820,0.0132179160
821,0.0134547500
822,0.0134115420
823,0.0132475830
824,0.0135832920
825,0.0133354170
826,0.0136162090
827,0.0133157500
828,0.0136690000
829,0.0140141670
830,0.0138820000
831,0.0139922500
832,0.0141922500
833,0.0135523750
834,0.0137694580
835,0.0140204590
836,0.0141917920
837,0.0138618750
838,0.0142821670
839,0.0146196250
840,0.0146299160
841,0.0142521660
842,0.0148693330
843,0.0149338330
844,0.0153257920
845,0.0155037920
846,0.0146032090
847,0.0147302500
848,0.0146791670
849,0.0149483750
850,0.0135675000
851,0.0145421250
852,0.0142693750
853,0.0148599580
854,0.0140975420
855,0.0140872500
856,0.0151410420
857,0.0153027910
858,0.0153433750
859,0.0150962910
860,0.0148919580
861,0.0146621670
862,0.0146634580
863,0.0153569580
864,0.0151295000
865,0.0150194590
866,0.0150166660
867,0.0147671670
868,0.0156804590
869,0.0146658750
870,0.0146632090
871,0.0153937920
872,0.0152086250
873,0.0150650000
874,0.0152481670
875,0.0153542500
876,0.0155070000
877,0.0152438750
878,0.0153861250
879,0.0155982920
880,0.0158317080
881,0.0160940420
882,0.0148202500
883,0.0148089160
884,0.0157482080
885,0.0158267500
886,0.0158813330
887,0.0163110420
888,0.0159257080
889,0.0163164170
890,0.0163571250
891,0.0163258750
892,0.0162517090
893,0.0167940000
894,0.0168179580
895,0.0170405830
896,0.0162025000
897,0.0164228750
898,0.0164995420
899,0.0166073330
900,0.0158460000
901,0.0162948750
902,0.0158400830
903,0.0160291250
904,0.0155634590
905,0.0163193330
906,0.0160801250
907,0.0164254170
908,0.0164369580
909,0.0156598750
910,0.0156519580
911,0.0160199170
912,0.0168636660
913,0.0169605410
914,0.0168768340
915,0.0159626670
916,0.0164140830
917,0.0165623750
918,0.0162562090
919,0.0163665000
920,0.0170042910
921,0.0169902090
922,0.0162173750
923,0.0163238750
924,0.0167404170
925,0.0167732920
926,0.0169077500
927,0.0166632500
928,0.0170822090
929,0.0165228750
930,0.0166894580
931,0.0259055830
932,0.0215743750
933,0.0173239170
934,0.0169107500
935,0.0176456670
936,0.0178523330
937,0.0172341660
938,0.0177911670
939,0.0173927910
940,0.0173679170
941,0.0173254580
942,0.0180937080
943,0.0174282500
944,0.0176499580
945,0.0179105000
946,0.0177295000
947,0.0177803330
948,0.0175866660
949,0.0175995410
950,0.0182900410
951,0.0178909170
952,0.0181434580
953,0.0179882080
954,0.0189955830
955,0.0183947080
956,0.0181032080
957,0.0183865420
958,0.0187957080
959,0.0183854580
960,0.0187637090
961,0.0195335410
962,0.0197115830
963,0.0189507090
964,0.0191073750
965,0.0199071250
966,0.0182635000
967,0.0181040830
968,0.0184040830
969,0.0188009590
970,0.0180878750
971,0.0198484580
972,0.0346129170
973,0.0196826670
974,0.0194247500
975,0.0191013750
976,0.0187069170
977,0.0187815830
978,0.0183337500
979,0.0193375420
980,0.0196789590
981,0.0206457920
982,0.0194729590
983,0.0189990420
984,0.0191864170
985,0.0197935000
986,0.0195979170
987,0.0204502080
988,0.0204228750
989,0.0202087910
990,0.0203862500
991,0.0198972910
992,0.0198731670
993,0.0192112090
994,0.0187768750
995,0.0197619580
996,0.0193665000
997,0.0194990000
998,0.0201870000
999,0.0204290830
1000,0.0204217090
