n,time-seconds
509,0.1681755840
510,0.1694162090
511,0.1696386250
512,0.1737495420
513,0.1740632500
514,0.1736339170
515,0.1751915420
516,0.1739614170
517,0.1741686670
518,0.1736926660
519,0.1768042910
520,0.1749984170
521,0.1774664170
522,0.1784738340
523,0.1779536670
524,0.1783799170
525,0.1790811670
526,0.1801965420
527,0.1817792500
528,0.1910685840
529,0.1929936670
530,0.1936901660
531,0.1826815830
532,0.1846171670
533,0.1899151660
534,0.1916813750
535,0.1968779590
536,0.1854647500
537,0.1888902500
538,0.1902149590
539,0.1892057090
540,0.1932544160
541,0.1909782920
542,0.1908601670
543,0.1928082090
544,0.1929021250
545,0.2058624590
546,0.1998351250
547,0.1971109160
548,0.2066711250
549,0.2092253340
550,0.2090291670
551,0.1997723750
552,0.1970418750
553,0.2090213340
554,0.1995670410
555,0.1991962500
556,0.2085740000
557,0.2078295830
558,0.2029415000
559,0.2135505000
560,0.2032124170
561,0.2041557080
562,0.2116131660
563,0.2049054170
564,0.2085298750
565,0.2101567080
566,0.2221206670
567,0.2203245420
568,0.2111548330
569,0.2214681250
570,0.2229958330
571,0.2118170830
572,0.2134477500
573,0.2166645830
574,0.2244491670
575,0.2139970830
576,0.2248623330
577,0.2295695000
578,0.2166663750
579,0.2206998330
580,0.2184583750
581,0.2174382080
582,0.2192076250
583,0.2193706250
584,0.2369780830
585,0.2373993330
586,0.2337620000
587,0.2318589160
588,0.2253632500
589,0.2390503750
590,0.2410492500
591,0.2401370830
592,0.2440936250
593,0.2281928330
594,0.2308955000
595,0.2394627920
596,0.2326972500
597,0.2315925420
598,0.2459977500
599,0.2396929580
600,0.2328493750
601,0.2400115840
602,0.2340631660
603,0.2341588330
604,0.2511136250
605,0.2388899580
606,0.2386979590
607,0.2494326250
608,0.2528170830
609,0.2413154580
610,0.2420866250
611,0.2417100000
612,0.2475599160
613,0.2459814160
614,0.2624392920
615,0.2615813340
616,0.2450229590
617,0.2460439160
618,0.2474000000
619,0.2467370410
620,0.2498066670
621,0.2508804590
622,0.2504788750
623,0.2532415000
624,0.2547682500
625,0.2547736660
626,0.2549865000
627,0.2544387500
628,0.2646356250
629,0.2556715000
630,0.2590212920
631,0.2708621670
632,0.2599107080
633,0.2748495830
634,0.2712034160
635,0.2617872920
636,0.2621795840
637,0.2616686250
638,0.2764634590
639,0.2763276250
640,0.2851349580
641,0.2681076660
642,0.2789619590
643,0.2750230000
644,0.2682568750
645,0.2725589590
646,0.2852836660
647,0.2761030410
648,0.2742337500
649,0.2878671250
650,0.2817856250
651,0.2947420000
652,0.2960269170
653,0.2749004160
654,0.3074146250
655,0.2828407080
656,0.2950325830
657,0.2998089160
658,0.2857395000
659,0.2829365830
660,0.2967132080
661,0.2823428750
662,0.2913308750
663,0.2858115830
664,0.2960962090
665,0.2893674580
666,0.3051220830
667,0.2926570000
668,0.2890756250
669,0.2907859160
670,0.3039676250
671,0.3028357500
672,0.2923095000
673,0.2957715420
674,0.3144235420
675,0.3135554170
676,0.3156005000
677,0.3154334590
678,0.3135362500
679,0.3009510000
680,0.3046229590
681,0.3078784580
682,0.3032339170
683,0.3170626660
684,0.3144956660
685,0.3039883750
686,0.3074402500
687,0.3154646250
688,0.3089727920
689,0.3103236670
690,0.3099021250
691,0.3073463750
